"entidad","causa","tipo_impacto","total_hectareas","fecha_inicio","fecha_termino"
"Puebla","Actividades agropecuarias","Impacto Mínimo",1,2015-02-24,2015-02-24
"Puebla","Fogatas","Impacto Mínimo",1,2015-02-24,2015-02-24
"Puebla","Intencional","Impacto Mínimo",1,2015-02-24,2015-02-24
"Puebla","Fumadores","Impacto Mínimo",2,2015-02-18,2015-02-19
"Puebla","Actividades agropecuarias","Impacto Mínimo",1.5,2015-02-21,2015-02-21
"Puebla","Actividades agropecuarias","Impacto Mínimo",16,2015-02-22,2015-02-22
"Puebla","Fogatas","Impacto Mínimo",4.5,2015-02-23,2015-02-23
"Puebla","Actividades agropecuarias","Impacto Mínimo",349,2015-02-23,2015-02-24
"Puebla","Actividades agropecuarias","Impacto Mínimo",8,2015-02-24,2015-02-24
"Puebla","Actividades agropecuarias","Impacto Mínimo",0.5,2015-02-25,2015-02-25
"Puebla","Actividades agropecuarias","Impacto Mínimo",1,2015-02-25,2015-02-25
"Puebla","Actividades agropecuarias","Impacto Mínimo",2.5,2015-02-26,2015-02-26
"Puebla","Actividades agropecuarias","Impacto Mínimo",39,2015-02-26,2015-02-26
"Puebla","Actividades agropecuarias","Impacto Mínimo",1,2015-02-26,2015-02-26
"Puebla","Actividades agropecuarias","Impacto Mínimo",0.75,2015-02-26,2015-02-26
"Puebla","Fumadores","Impacto Mínimo",0.75,2015-02-26,2015-02-26
"Puebla","Otras causas","Impacto Mínimo",1,2015-02-27,2015-02-27
"Puebla","Intencional","Impacto Mínimo",1,2015-02-27,2015-02-27
"Puebla","Actividades agropecuarias","Impacto Mínimo",0.5,2015-02-27,2015-02-27
"Puebla","Intencional","Impacto Mínimo",0.5,2015-02-27,2015-02-27
"Puebla","Actividades agropecuarias","Impacto Mínimo",1,2015-02-27,2015-02-27
"Puebla","Otras causas","Impacto Mínimo",0.5,2015-02-28,2015-02-28
"Puebla","Intencional","Impacto Mínimo",1,2015-02-28,2015-02-28
"Puebla","Actividades agropecuarias","Impacto Mínimo",1,2015-02-28,2015-02-28
"Puebla","Intencional","Impacto Mínimo",3,2015-02-28,2015-02-28
"Puebla","Fogatas","Impacto Mínimo",2.5,2015-02-28,2015-02-28
"Puebla","Intencional","Impacto Mínimo",0.5,2015-02-28,2015-02-28
"Puebla","Actividades agropecuarias","Impacto Mínimo",0.5,2015-03-01,2015-03-01
"Puebla","Actividades agropecuarias","Impacto Mínimo",1.5,2015-03-01,2015-03-01
"Puebla","Actividades agropecuarias","Impacto Mínimo",2.5,2015-03-01,2015-03-01
"Puebla","Intencional","Impacto Mínimo",0.75,2015-03-01,2015-03-01
"Puebla","Intencional","Impacto Mínimo",1,2015-03-02,2015-03-02
"Puebla","Intencional","Impacto Mínimo",9.5,2015-03-02,2015-03-02
"Puebla","Actividades agropecuarias","Impacto Mínimo",0.5,2015-03-02,2015-03-02
"Puebla","Fumadores","Impacto Mínimo",1,2015-03-02,2015-03-02
"Puebla","Fogatas","Impacto Mínimo",60,2015-03-02,2015-03-03
"Puebla","Intencional","Impacto Mínimo",40,2015-03-03,2015-03-03
"Puebla","Intencional","Impacto Mínimo",21,2015-03-03,2015-03-04
"Puebla","Fogatas","Impacto Mínimo",80,2015-03-03,2015-03-04
"Puebla","Fumadores","Impacto Mínimo",0.75,2015-03-04,2015-03-04
"Puebla","Cazadores","Impacto Mínimo",0.75,2015-03-04,2015-03-04
"Puebla","Actividades agropecuarias","Impacto Mínimo",0.5,2015-03-04,2015-03-04
"Puebla","Actividades agropecuarias","Impacto Mínimo",2.5,2015-03-04,2015-03-04
"Puebla","Actividades agropecuarias","Impacto Mínimo",1,2015-03-04,2015-03-04
"Puebla","Intencional","Impacto Mínimo",2,2015-03-04,2015-03-04
"Puebla","Otras causas","Impacto Mínimo",1,2015-03-04,2015-03-05
"Puebla","Otras causas","Impacto Mínimo",2,2015-03-04,2015-03-05
"Puebla","Actividades agropecuarias","Impacto Mínimo",0.5,2015-03-05,2015-03-05
"Puebla","Actividades agropecuarias","Impacto Mínimo",1,2015-03-05,2015-03-05
"Puebla","Intencional","Impacto Mínimo",1.5,2015-03-05,2015-03-05
"Puebla","Actividades agropecuarias","Impacto Mínimo",1,2015-03-06,2015-03-06
"Puebla","Otras causas","Impacto Mínimo",0.5,2015-03-06,2015-03-06
"Puebla","Fumadores","Impacto Mínimo",1,2015-03-06,2015-03-06
"Puebla","Actividades agropecuarias","Impacto Mínimo",106,2015-03-06,2015-03-06
"Puebla","Intencional","Impacto Mínimo",0.75,2015-03-07,2015-03-07
"Puebla","Intencional","Impacto Mínimo",0.5,2015-03-07,2015-03-07
"Puebla","Actividades agropecuarias","Impacto Mínimo",1,2015-03-08,2015-03-08
"Puebla","Actividades agropecuarias","Impacto Mínimo",0.5,2015-03-08,2015-03-08
"Puebla","Actividades agropecuarias","Impacto Mínimo",8,2015-03-09,2015-03-09
"Puebla","Actividades agropecuarias","Impacto Mínimo",1.5,2015-03-10,2015-03-10
"Puebla","Otras causas","Impacto Mínimo",1,2015-03-10,2015-03-10
"Puebla","Cazadores","Impacto Mínimo",40,2015-03-10,2015-03-11
"Puebla","Otras causas","Impacto Mínimo",0.5,2015-03-10,2015-03-10
"Puebla","Actividades agropecuarias","Impacto Mínimo",1.5,2015-03-16,2015-03-16
"Puebla","Actividades agropecuarias","Impacto Mínimo",1.5,2015-03-11,2015-03-11
"Puebla","Cazadores","Impacto Mínimo",1,2015-03-11,2015-03-11
"Puebla","Actividades agropecuarias","Impacto Mínimo",2.5,2015-04-02,2015-04-03
"Puebla","Actividades agropecuarias","Impacto Mínimo",2,2015-04-04,2015-04-04
"Puebla","Naturales","Impacto Mínimo",3,2015-04-05,2015-04-05
"Puebla","Fogatas","Impacto Mínimo",4,2015-04-05,2015-04-05
"Puebla","Cazadores","Impacto Mínimo",1,2015-04-05,2015-04-05
"Puebla","Fogatas","Impacto Mínimo",20,2015-04-05,2015-04-05
"Puebla","Cazadores","Impacto Mínimo",7,2015-04-07,2015-04-08
"Puebla","Intencional","Impacto Mínimo",1,2015-04-08,2015-04-08
"Puebla","Fumadores","Impacto Mínimo",7.5,2015-04-08,2015-04-08
"Puebla","Intencional","Impacto Mínimo",1,2015-04-18,2015-04-18
"Puebla","Actividades agropecuarias","Impacto Mínimo",1.5,2015-04-18,2015-04-18
"Puebla","Intencional","Impacto Mínimo",0.5,2015-04-18,2015-04-18
"Puebla","Intencional","Impacto Mínimo",1,2015-04-19,2015-04-19
"Puebla","Actividades agropecuarias","Impacto Mínimo",0.5,2015-04-19,2015-04-19
"Puebla","Cazadores","Impacto Mínimo",1,2015-04-20,2015-04-20
"Puebla","Cazadores","Impacto Mínimo",240,2015-04-18,2015-04-20
"Puebla","Otras causas","Impacto Mínimo",1,2015-04-24,2015-04-24
"Puebla","Intencional","Impacto Mínimo",6.5,2015-04-25,2015-04-25
"Puebla","Intencional","Impacto Mínimo",26,2015-04-26,2015-04-27
"Puebla","Intencional","Impacto Mínimo",1,2015-04-26,2015-04-26
"Puebla","Actividades agropecuarias","Impacto Mínimo",0.5,2015-04-26,2015-04-26
"Puebla","Intencional","Impacto Mínimo",1,2015-04-27,2015-04-27
"Puebla","Actividades agropecuarias","Impacto Mínimo",45,2015-04-26,2015-04-28
"Puebla","Intencional","Impacto Mínimo",1,2015-05-07,2015-05-07
"Puebla","Cazadores","Impacto Mínimo",4,2015-05-08,2015-05-08
"Puebla","Quema de basureros","Impacto Mínimo",1,2015-05-09,2015-05-09
"Puebla","Actividades agropecuarias","Impacto Mínimo",278,2015-04-22,2015-04-25
"Puebla","Fogatas","Impacto Mínimo",4,2015-07-29,2015-07-29
"Puebla","Otras causas","Impacto Mínimo",5.4,2015-07-24,2015-07-24
"Puebla","Fogatas","Impacto Mínimo",1,2016-01-01,2016-01-01
"Puebla","Actividades agropecuarias","Impacto Mínimo",2,2016-01-01,2016-01-01
"Puebla","Fogatas","Impacto Mínimo",0.25,2016-01-01,2016-01-01
"Puebla","Intencional","Impacto Mínimo",2,2016-01-01,2016-01-01
"Puebla","Actividades agropecuarias","Impacto Mínimo",0.25,2016-01-01,2016-01-01
"Puebla","Actividades agropecuarias","Impacto Mínimo",1,2016-01-04,2016-01-04
"Puebla","Fumadores","Impacto Mínimo",1,2016-01-08,2016-01-08
"Puebla","Intencional","Impacto Mínimo",1,2016-01-09,2016-01-09
"Puebla","Actividades agropecuarias","Impacto Mínimo",1,2016-01-10,2016-01-10
"Puebla","Intencional","Impacto Mínimo",2.5,2016-01-15,2016-01-15
"Puebla","Cazadores","Impacto Mínimo",2,2016-01-16,2016-01-16
"Puebla","Intencional","Impacto Mínimo",0.75,2016-01-17,2016-01-17
"Puebla","Intencional","Impacto Mínimo",0.25,2016-01-21,2016-01-21
"Puebla","Actividades agropecuarias","Impacto Mínimo",0.75,2016-01-23,2016-01-23
"Puebla","Fogatas","Impacto Mínimo",0.5,2016-01-23,2016-01-23
"Puebla","Actividades agropecuarias","Impacto Mínimo",1,2016-01-23,2016-01-23
"Puebla","Intencional","Impacto Mínimo",5.5,2016-01-24,2016-01-24
"Puebla","Fogatas","Impacto Mínimo",1,2016-01-24,2016-01-24
"Puebla","Fumadores","Impacto Mínimo",2,2016-01-21,2016-01-21
"Puebla","Fogatas","Impacto Mínimo",0.5,2016-01-25,2016-01-25
"Puebla","Actividades agropecuarias","Impacto Mínimo",4.55,2016-01-25,2016-01-25
"Puebla","Intencional","Impacto Mínimo",13.8,2016-01-26,2016-01-26
"Puebla","Fogatas","Impacto Mínimo",2,2016-01-26,2016-01-26
"Puebla","Intencional","Impacto Mínimo",0.75,2016-01-25,2016-01-25
"Puebla","Intencional","Impacto Mínimo",1,2016-01-25,2016-01-25
"Puebla","Intencional","Impacto Mínimo",2.5,2016-01-26,2016-01-26
"Puebla","Actividades agropecuarias","Impacto Mínimo",0.5,2016-01-26,2016-01-26
"Puebla","Intencional","Impacto Mínimo",4,2016-01-27,2016-01-27
"Puebla","Fogatas","Impacto Mínimo",0.33,2016-01-27,2016-01-27
"Puebla","Actividades agropecuarias","Impacto Mínimo",1,2016-01-27,2016-01-27
"Puebla","Intencional","Impacto Mínimo",0.75,2016-01-28,2016-01-28
"Puebla","Actividades agropecuarias","Impacto Mínimo",1.5,2016-01-28,2016-01-28
"Puebla","Intencional","Impacto Mínimo",0.5,2016-01-29,2016-01-29
"Puebla","Intencional","Impacto Mínimo",1,2016-01-30,2016-01-30
"Puebla","Fogatas","Impacto Mínimo",8,2016-01-30,2016-01-30
"Puebla","Intencional","Impacto Mínimo",1,2016-01-30,2016-01-31
"Puebla","Intencional","Impacto Mínimo",0.5,2016-01-31,2016-01-31
"Puebla","Intencional","Impacto Mínimo",11.2,2016-02-01,2016-02-01
"Puebla","Intencional","Impacto Mínimo",2.5,2016-02-01,2016-02-01
"Puebla","Intencional","Impacto Mínimo",2,2016-02-02,2016-02-02
"Puebla","Intencional","Impacto Mínimo",1,2016-02-02,2016-02-02
"Puebla","Quema de basureros","Impacto Mínimo",0.3,2016-02-02,2016-02-02
"Puebla","Intencional","Impacto Mínimo",1.5,2016-02-03,2016-02-03
"Puebla","Actividades agropecuarias","Impacto Mínimo",0.5,2016-02-03,2016-02-03
"Puebla","Actividades agropecuarias","Impacto Mínimo",2,2016-02-03,2016-02-03
"Puebla","Intencional","Impacto Mínimo",4,2016-02-04,2016-02-04
"Puebla","Actividades agropecuarias","Impacto Mínimo",1,2016-02-04,2016-02-04
"Puebla","Intencional","Impacto Mínimo",1.5,2016-02-04,2016-02-04
"Puebla","Actividades agropecuarias","Impacto Mínimo",0.5,2016-02-05,2016-02-05
"Puebla","Actividades agropecuarias","Impacto Mínimo",3,2016-02-05,2016-02-05
"Puebla","Intencional","Impacto Mínimo",6.4,2016-02-05,2016-02-05
"Puebla","Otras causas","Impacto Mínimo",2.7,2016-02-06,2016-02-07
"Puebla","Intencional","Impacto Mínimo",0.25,2016-02-06,2016-02-06
"Puebla","Intencional","Impacto Mínimo",2,2016-02-06,2016-02-06
"Puebla","Cazadores","Impacto Mínimo",10,2016-02-06,2016-02-06
"Puebla","Intencional","Impacto Mínimo",9,2016-02-06,2016-02-06
"Puebla","Otras causas","Impacto Mínimo",1.5,2016-02-07,2016-02-07
"Puebla","Intencional","Impacto Mínimo",15.1,2016-02-07,2016-02-07
"Puebla","Actividades agropecuarias","Impacto Mínimo",4,2016-02-07,2016-02-07
"Puebla","Fogatas","Impacto Mínimo",12.02,2016-02-07,2016-02-07
"Puebla","Otras causas","Impacto Mínimo",4.6,2016-02-08,2016-02-08
"Puebla","Fogatas","Impacto Mínimo",1.6,2016-02-08,2016-02-08
"Puebla","Fogatas","Impacto Mínimo",1,2016-02-08,2016-02-08
"Puebla","Actividades agropecuarias","Impacto Mínimo",1.5,2016-02-08,2016-02-08
"Puebla","Intencional","Impacto Mínimo",2.55,2016-02-08,2016-02-09
"Puebla","Intencional","Impacto Mínimo",17,2016-02-09,2016-02-09
"Puebla","Actividades agropecuarias","Impacto Mínimo",57.3,2016-02-09,2016-02-09
"Puebla","Intencional","Impacto Mínimo",1,2016-02-09,2016-02-09
"Puebla","Otras causas","Impacto Mínimo",0.26,2016-02-09,2016-02-09
"Puebla","Otras causas","Impacto Mínimo",2.25,2016-02-09,2016-02-09
"Puebla","Actividades agropecuarias","Impacto Mínimo",1.6,2016-02-09,2016-02-09
"Puebla","Actividades agropecuarias","Impacto Mínimo",1.25,2016-02-09,2016-02-09
"Puebla","Actividades agropecuarias","Impacto Mínimo",2.1,2016-02-10,2016-02-10
"Puebla","Actividades agropecuarias","Impacto Mínimo",0.5,2016-02-10,2016-02-10
"Puebla","Actividades agropecuarias","Impacto Mínimo",0.75,2016-02-10,2016-02-10
"Puebla","Actividades agropecuarias","Impacto Mínimo",12.95,2016-02-11,2016-02-12
"Puebla","Intencional","Impacto Mínimo",1.5,2016-02-12,2016-02-12
"Puebla","Cazadores","Impacto Mínimo",2.3,2016-02-12,2016-02-12
"Puebla","Otras causas","Impacto Mínimo",0.5,2016-02-12,2016-02-12
"Puebla","Actividades agropecuarias","Impacto Mínimo",1,2016-02-12,2016-02-12
"Puebla","Actividades agropecuarias","Impacto Mínimo",1,2016-02-13,2016-02-13
"Puebla","Actividades agropecuarias","Impacto Mínimo",0.55,2016-02-13,2016-02-13
"Puebla","Intencional","Impacto Mínimo",2,2016-02-13,2016-02-13
"Puebla","Actividades agropecuarias","Impacto Mínimo",1.5,2016-02-13,2016-02-13
"Puebla","Intencional","Impacto Mínimo",3,2016-02-13,2016-02-13
"Puebla","Otras causas","Impacto Mínimo",1,2016-02-13,2016-02-13
"Puebla","Intencional","Impacto Mínimo",1,2016-02-14,2016-02-14
"Puebla","Otras causas","Impacto Mínimo",45.4,2016-02-14,2016-02-15
"Puebla","Cazadores","Impacto Mínimo",3,2016-02-14,2016-02-14
"Puebla","Fogatas","Impacto Mínimo",0.5,2016-02-14,2016-02-14
"Puebla","Actividades agropecuarias","Impacto Mínimo",1.5,2016-02-14,2016-02-14
"Puebla","Intencional","Impacto Mínimo",2,2016-02-15,2016-02-15
"Puebla","Actividades agropecuarias","Impacto Mínimo",2,2016-02-15,2016-02-15
"Puebla","Fumadores","Impacto Mínimo",4.26,2016-02-15,2016-02-15
"Puebla","Otras causas","Impacto Mínimo",50,2016-02-15,2016-02-16
"Puebla","Intencional","Impacto Mínimo",1,2016-02-15,2016-02-15
"Puebla","Intencional","Impacto Mínimo",1.82,2016-02-15,2016-02-15
"Puebla","Limpias de derecho de vía","Impacto Mínimo",0.88,2016-02-15,2016-02-15
"Puebla","Fogatas","Impacto Mínimo",3.85,2016-02-15,2016-02-16
"Puebla","Intencional","Impacto Mínimo",4.64,2016-02-15,2016-02-16
"Puebla","Intencional","Impacto Mínimo",10.3,2016-02-15,2016-02-16
"Puebla","Actividades agropecuarias","Impacto Mínimo",8.5,2016-02-16,2016-02-16
"Puebla","Intencional","Impacto Mínimo",1.15,2016-02-16,2016-02-16
"Puebla","Quema de basureros","Impacto Mínimo",1,2016-02-16,2016-02-16
"Puebla","Actividades agropecuarias","Impacto Mínimo",40,2016-02-16,2016-02-16
"Puebla","Actividades agropecuarias","Impacto Mínimo",52.4,2016-02-17,2016-02-17
"Puebla","Intencional","Impacto Mínimo",13.6,2016-02-17,2016-02-17
"Puebla","Otras causas","Impacto Mínimo",2,2016-02-17,2016-02-17
"Puebla","Fogatas","Impacto Mínimo",3,2016-02-17,2016-02-17
"Puebla","Limpias de derecho de vía","Impacto Mínimo",27.85,2016-02-17,2016-02-18
"Puebla","Intencional","Impacto Mínimo",2,2016-02-17,2016-02-17
"Puebla","Actividades agropecuarias","Impacto Mínimo",16.3,2016-02-17,2016-02-17
"Puebla","Otras causas","Impacto Mínimo",1,2016-02-17,2016-02-17
"Puebla","Actividades agropecuarias","Impacto Mínimo",1.5,2016-02-17,2016-02-17
"Puebla","Intencional","Impacto Mínimo",39.1,2016-02-17,2016-02-18
"Puebla","Actividades agropecuarias","Impacto Mínimo",6.11,2016-02-17,2016-02-18
"Puebla","Actividades agropecuarias","Impacto Mínimo",46.1,2016-02-17,2016-02-18
"Puebla","Intencional","Impacto Mínimo",50.3,2016-02-17,2016-02-18
"Puebla","Fogatas","Impacto Mínimo",7.67,2016-02-18,2016-02-18
"Puebla","Otras causas","Impacto Mínimo",1,2016-02-18,2016-02-18
"Puebla","Intencional","Impacto Mínimo",2,2016-02-18,2016-02-18
"Puebla","Intencional","Impacto Mínimo",5.04,2016-02-18,2016-02-18
"Puebla","Fogatas","Impacto Mínimo",12,2016-02-18,2016-02-18
"Puebla","Intencional","Impacto Mínimo",3,2016-02-18,2016-02-18
"Puebla","Actividades agropecuarias","Impacto Mínimo",2,2016-02-18,2016-02-18
"Puebla","Intencional","Impacto Mínimo",1,2016-02-18,2016-02-18
"Puebla","Intencional","Impacto Mínimo",2.8,2016-02-18,2016-02-19
"Puebla","Intencional","Impacto Mínimo",10.75,2016-02-19,2016-02-19
"Puebla","Actividades agropecuarias","Impacto Mínimo",2.87,2016-02-19,2016-02-19
"Puebla","Intencional","Impacto Mínimo",1,2016-02-19,2016-02-19
"Puebla","Intencional","Impacto Mínimo",12.55,2016-02-19,2016-02-19
"Puebla","Actividades agropecuarias","Impacto Mínimo",12.1,2016-02-19,2016-02-19
"Puebla","Actividades agropecuarias","Impacto Mínimo",2,2016-02-19,2016-02-19
"Puebla","Actividades agropecuarias","Impacto Mínimo",17,2016-02-20,2016-02-20
"Puebla","Otras causas","Impacto Mínimo",1,2016-02-20,2016-02-20
"Puebla","Intencional","Impacto Mínimo",1,2016-02-20,2016-02-20
"Puebla","Actividades agropecuarias","Impacto Mínimo",2.5,2016-02-20,2016-02-20
"Puebla","Intencional","Impacto Mínimo",5.8,2016-02-20,2016-02-20
"Puebla","Actividades agropecuarias","Impacto Mínimo",3,2016-02-21,2016-02-21
"Puebla","Intencional","Impacto Mínimo",4,2016-02-21,2016-02-21
"Puebla","Cazadores","Impacto Mínimo",1.7,2016-02-21,2016-02-21
"Puebla","Intencional","Impacto Mínimo",12.8,2016-02-22,2016-02-22
"Puebla","Intencional","Impacto Mínimo",2,2016-02-22,2016-02-22
"Puebla","Actividades agropecuarias","Impacto Mínimo",1,2016-02-22,2016-02-22
"Puebla","Intencional","Impacto Mínimo",1,2016-02-22,2016-02-22
"Puebla","Actividades agropecuarias","Impacto Mínimo",34,2016-02-22,2016-02-22
"Puebla","Intencional","Impacto Mínimo",5.5,2016-02-22,2016-02-22
"Puebla","Intencional","Impacto Mínimo",147,2016-02-12,2016-02-14
"Puebla","Intencional","Impacto Moderado",117,2016-02-23,2016-02-23
"Puebla","Intencional","Impacto Mínimo",10,2016-02-23,2016-02-23
"Puebla","Cazadores","Impacto Mínimo",9,2016-02-23,2016-02-23
"Puebla","Fogatas","Impacto Mínimo",1.5,2016-02-23,2016-02-23
"Puebla","Otras causas","Impacto Mínimo",3.4,2016-02-23,2016-02-24
"Puebla","Actividades agropecuarias","Impacto Mínimo",9.4,2016-02-23,2016-02-24
"Puebla","Intencional","Impacto Mínimo",1.25,2016-02-24,2016-02-24
"Puebla","Intencional","Impacto Mínimo",31,2016-02-24,2016-02-24
"Puebla","Actividades agropecuarias","Impacto Mínimo",0.75,2016-02-24,2016-02-24
"Puebla","Intencional","Impacto Mínimo",0.5,2016-02-25,2016-02-25
"Puebla","Fogatas","Impacto Mínimo",9.69,2016-02-25,2016-02-25
"Puebla","Otras causas","Impacto Mínimo",15.7,2016-02-25,2016-02-25
"Puebla","Actividades agropecuarias","Impacto Mínimo",1,2016-02-25,2016-02-25
"Puebla","Intencional","Impacto Mínimo",12.9,2016-02-26,2016-02-28
"Puebla","Actividades agropecuarias","Impacto Mínimo",64.4,2016-02-26,2016-02-26
"Puebla","Quema de basureros","Impacto Mínimo",2,2016-02-26,2016-02-26
"Puebla","Otras causas","Impacto Mínimo",0.15,2016-02-27,2016-02-27
"Puebla","Actividades agropecuarias","Impacto Mínimo",6,2016-02-27,2016-02-27
"Puebla","Actividades agropecuarias","Impacto Mínimo",1.9,2016-02-27,2016-02-28
"Puebla","Intencional","Impacto Mínimo",1,2016-02-28,2016-02-28
"Puebla","Actividades agropecuarias","Impacto Mínimo",1,2016-02-28,2016-02-28
"Puebla","Intencional","Impacto Mínimo",1.9,2016-02-29,2016-02-29
"Puebla","Otras causas","Impacto Mínimo",0.8,2016-02-29,2016-02-29
"Puebla","Intencional","Impacto Mínimo",50.7,2016-02-20,2016-02-21
"Puebla","Otras causas","Impacto Mínimo",129,2016-02-27,2016-03-02
"Puebla","Fogatas","Impacto Mínimo",16.7,2016-03-06,2016-03-06
"Puebla","Intencional","Impacto Mínimo",0.75,2016-03-06,2016-03-06
"Puebla","Otras causas","Impacto Mínimo",1,2016-03-07,2016-03-07
"Puebla","Otras causas","Impacto Mínimo",0.19,2016-03-07,2016-03-07
"Puebla","Actividades agropecuarias","Impacto Mínimo",1.25,2016-03-07,2016-03-07
"Puebla","Fogatas","Impacto Mínimo",11,2016-03-08,2016-03-08
"Puebla","Intencional","Impacto Mínimo",20,2016-03-08,2016-03-08
"Puebla","Actividades agropecuarias","Impacto Mínimo",29.65,2016-03-08,2016-03-09
"Puebla","Naturales","Impacto Mínimo",3.9,2016-03-09,2016-03-09
"Puebla","Intencional","Impacto Mínimo",3,2016-03-09,2016-03-09
"Puebla","Intencional","Impacto Mínimo",2.5,2016-03-09,2016-03-09
"Puebla","Naturales","Impacto Mínimo",4.75,2016-03-11,2016-03-11
"Puebla","Intencional","Impacto Mínimo",1.85,2016-03-10,2016-03-10
"Puebla","Otras causas","Impacto Mínimo",2,2016-03-11,2016-03-11
"Puebla","Otras causas","Impacto Mínimo",25.5,2016-03-12,2016-03-14
"Puebla","Otras causas","Impacto Mínimo",18.3,2016-03-13,2016-03-14
"Puebla","Actividades agropecuarias","Impacto Mínimo",8.5,2016-03-13,2016-03-13
"Puebla","Actividades agropecuarias","Impacto Mínimo",2.54,2016-03-14,2016-03-14
"Puebla","Actividades agropecuarias","Impacto Mínimo",4,2016-03-14,2016-03-14
"Puebla","Intencional","Impacto Mínimo",3.75,2016-03-14,2016-03-14
